hostname-cleaned,canonical-to-text,ga-total-views,techstack-status,techstack-opensource-platform,techstack-platform,techstack-frameworks
ca.gov,ca.gov,"130,124,240",200,no,ASP.NET (proprietary/custom),Google Fonts
edd.ca.gov,edd.ca.gov,"43,663,502",200,no,ASP.NET (proprietary/custom),Google Analytics; Google Fonts; Google Tag Manager; jQuery
dmv.ca.gov,dmv.ca.gov,"37,408,434",200,unknown,undetermined,
uio.edd.ca.gov,uio.edd.ca.gov,"28,327,942",200,unknown,undetermined,
calcareers.ca.gov,calcareers.ca.gov,"14,400,328",200,no,ASP.NET (proprietary/custom),Bootstrap; Google Analytics; jQuery
dca.ca.gov,dca.ca.gov,"6,236,212",200,yes,WordPress,
ccrpd.network1.corp.edd.ca.gov,ccrpd.network1.corp.edd.ca.gov,"6,173,894",none,error,undetermined,
search.dca.ca.gov,search.dca.ca.gov,"5,630,140",200,yes,Joomla,
ftb.ca.gov,ftb.ca.gov,"4,022,519",403,unknown,undetermined,
dir.ca.gov,dir.ca.gov,"2,478,727",200,no,ASP.NET (proprietary/custom),Google Analytics; Google Fonts; Google Tag Manager; jQuery
cdph.ca.gov,cdph.ca.gov,"2,319,088",none,error,undetermined,
dot.ca.gov,dot.ca.gov,"1,736,351",200,no,Sitecore,Bootstrap; Google Analytics; Google Fonts; Google Tag Manager; Modernizr; YouTube Embed; jQuery
cleantruckcheck.arb.ca.gov,cleantruckcheck.arb.ca.gov,"1,461,454",200,unknown,undetermined,
ctc.ca.gov,ctc.ca.gov,"1,211,923",403,unknown,undetermined,
caloes.ca.gov,caloes.ca.gov,"857,278",none,error,undetermined,
gov.ca.gov,gov.ca.gov,"760,133",200,yes,WordPress,
abc.ca.gov,abc.ca.gov,"727,083",200,yes,WordPress,
rn.ca.gov,rn.ca.gov,"696,218",200,no,ASP.NET (proprietary/custom),Google Analytics; Google Tag Manager; Modernizr; YouTube Embed; jQuery
childsupport.ca.gov,childsupport.ca.gov,"694,384",403,unknown,undetermined,
calhr.ca.gov,calhr.ca.gov,"612,842",403,unknown,undetermined,
dtsc.ca.gov,dtsc.ca.gov,"545,073",403,unknown,undetermined,
